#gene_name	#gene_id
contig1	131567
contig2	6072
contig3	131567
contig4	33154
contig5	33208
contig6	33208
contig7	131567
contig8	2759
contig9	33208
contig10	33154
contig11	131567
contig12	33208
contig13	131567
contig14	2759
contig15	131567
contig16	33154
contig17	131567
contig18	33208
contig19	2759
contig20	131567
contig21	33208
contig22	33154
contig23	33317
contig24	33208
contig25	33208
contig26	33208
contig27	33208
contig28	1735272
contig29	33208
contig30	6072
contig31	33208
contig32	33154
contig33	6072
contig34	6072
contig35	33208
contig36	1735272
contig37	131567
contig38	33208
contig39	33208
contig40	131567
contig41	33208
contig42	6072
contig43	33208
contig44	131567
contig45	131567
contig46	33208
contig47	33208
contig48	2759
contig49	131567
contig50	33154
contig51	131567
contig52	131567
contig53	131567
contig54	33208
contig55	33208
contig56	131567
contig57	33208
contig58	131567
contig59	131567
contig60	33154
contig61	131567
contig62	131567
contig63	33154
contig64	131567
contig65	131567
contig66	33208
contig67	33208
contig68	33208
contig69	131567
contig70	2759
contig71	2759
contig72	131567
contig73	2759
contig74	1
contig75	131567
contig76	131567
contig77	6072
contig78	33208
contig79	33208
contig80	33208
contig81	131567
contig82	131567
contig83	33208
contig84	131567
contig85	131567
contig86	131567
contig87	33208
contig88	33154
contig89	2759
contig90	33208
contig91	1735272
contig92	6072
contig93	1735272
contig94	1735272
contig95	1735272
contig96	6072
contig97	33213
contig98	1735272
contig99	33208
contig100	1735272
contig101	1735272
contig102	1735272
contig103	33208
contig104	1735272
contig105	1735272
contig106	6072
contig107	33208
contig108	33208
contig109	33154
contig110	1735272
contig111	6047
contig112	1735272
contig113	33213
contig114	6072
contig115	6072
contig116	33208
contig117	33208
contig118	33208
contig119	33208
contig120	6072
contig121	33208
contig122	33208
contig123	6072
contig124	131567
contig125	2759
contig126	2759
contig127	1735272
contig128	1735272
contig129	6072
contig130	6103
contig131	6072
contig132	6072
contig133	1735272
contig134	6072
contig135	131567
contig136	33208
contig137	33213
contig138	6072
contig139	6072
contig140	33208
contig141	6072
contig142	1735272
contig143	6072
contig144	33208
contig145	131567
contig146	131567
contig147	131567
contig148	131567
contig149	131567
contig150	131567
contig151	131567
contig152	33154
contig153	131567
contig154	131567
contig155	131567
contig156	131567
contig157	2759
contig158	131567
contig159	131567
contig160	131567
contig161	131567
contig162	131567
contig163	33208
contig164	2759
contig165	131567
contig166	33208
contig167	33208
contig168	33154
contig169	33208
contig170	131567
contig171	2759
contig172	131567
contig173	131567
contig174	131567
contig175	131567
contig176	131567
contig177	131567
contig178	131567
contig179	2759
contig180	33208
contig181	131567
contig182	131567
contig183	2759
contig184	131567
contig185	131567
contig186	131567
contig187	131567
contig188	131567
contig189	33208
contig190	33208
contig191	131567
contig192	131567
contig193	131567
contig194	131567
contig195	2759
contig196	33208
contig197	2759
contig198	33154
contig199	33208
contig200	33208
contig201	33208
contig202	2759
contig203	131567
contig204	131567
contig205	131567
contig206	1
contig207	33208
contig208	2759
contig209	33208
contig210	33154
contig211	131567
contig212	2759
contig213	33208
contig214	131567
contig215	131567
contig216	131567
contig217	131567
contig218	1
contig219	131567
contig220	33208
contig221	33154
contig222	2759
contig223	131567
contig224	131567
